"idproducto"|"cod_barra"|"nombre"|"precio_venta_minorista"|"precio_venta_mayorista"|"cantidad_mayorista"|"precio_compra"|"stock"|"stock_min"|"activar"|"venta_mayorista"|"promocion"|"ult_venta"|"ult_compra"|"fk_idproducto_categoria"|"fk_idproducto_unidad"|"fk_idproducto_marca"|"alquilado"|"precio_venta_promocion"|"stock_fijo"|"precio_alquiler"|"precio_reposicion"|"descripcion"
14|"83586-GW1YS"|"Butaca c/respaldo LED inalámbico"|0.00|0.00|0|0.00|6|0|t|f|f|"2022-11-29"|"2022-11-29"|5|1|1|t|0|6|50000|0|"sin-dato"
13|"83472-B2GHT"|"Curvo LED inalámbico"|0.00|0.00|0|0.00|8|2|t|f|f|"2022-11-29"|"2022-11-29"|5|1|1|t|0|8|50000|0|"sin-dato"
12|"83329-PG611"|"Mesa/puff LED inalámbica"|0.00|0.00|0|0.00|26|2|t|f|f|"2022-11-30"|"2022-11-30"|5|1|1|t|0|26|50000|0|"sin-dato"
11|"83251-NFSZO"|"Mesa red. LED inalámbica"|0.00|0.00|0|0.00|6|1|t|f|f|"2022-11-29"|"2022-11-29"|5|1|1|t|0|6|50000|0|"sin-dato"
10|"83042-JTSUF"|"Champañera LED inalámbica"|0.00|0.00|0|0.00|20|5|t|f|f|"2022-11-29"|"2022-11-29"|5|1|1|t|0|20|50000|0|"sin-dato"
9|"82995-7P7UX"|"Mesa NEGRA simple"|0.00|0.00|0|0.00|25|5|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|25|20000|0|"sin-dato"
8|"82773-P8FEJ"|"Puff NEGRO Doble "|0.00|0.00|0|0.00|35|5|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|35|20000|0|"sin-dato"
7|"82520-V9MRD"|"Puff NEGRO individual"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|100|10000|0|"sin-dato"
6|"82431-Y1Z3F"|"Sofá NEGRO con respaldero 2L"|0.00|0.00|0|0.00|50|5|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|50|40000|0|"sin-dato"
5|"82250-FWOTK"|"Mesa BLANCA simple"|0.00|0.00|0|0.00|25|5|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|25|20000|0|"sin-dato"
4|"71392-ZQUWS"|"Puff BLANCO Doble "|0.00|0.00|0|0.00|35|5|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|35|20000|0|"sin-dato"
3|"71274-Y222K"|"Puff BLANCO individual"|0.00|0.00|0|0.00|100|20|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|100|10000|0|"sin-dato"
2|"71122-8TQ4O"|"Sofá BLANCO con respaldero 2L"|0.00|0.00|0|0.00|50|10|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|50|40000|0|"sin-dato"
1|"69507-J9YU1"|"sin-dato"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-11-29"|"2022-11-29"|1|1|1|t|0|100|1000|0|"sin-dato"
